つきまとい	2016/05/09(月) 午後4時30分	柏市南増尾六丁目	35.812521	139.962576	26～30歳	男	161～165cm	無	黒色リュックサックを背負っていた、透明ビニール傘	赤色キャップ帽、紺色半袖Ｔシャツ、青色Ｇパン	帰宅途中の女子中学生が、男に追い掛けられたもの。	280
露出	2016/09/03(土) 午後3時55分	松戸市小金原二丁目	35.824252	139.945022	31～40歳	男	166～170cm	無	細身、金髪と茶髪でスポーツ狩りのボサボサ風、黒縁眼鏡使用	白色半袖Ｔシャツ、赤色ハーフパンツで約１センチから２センチのドクロマーク入り、色不明のビーチサンダル	帰宅途中の女子児童が、男に陰部を見せられたもの。	600
露出	2016/01/04(月) 午後3時0分	松戸市小金原二丁目	35.824252	139.945022	31～40歳	男	171～175cm	無	複数、露出した陰部を手で隠しながら近づいてくる	不明	遊んでいた女子児童らが、男に陰部を見せられたもの。	600
つきまとい	2016/04/22(金) 午後4時20分	松戸市小金原一丁目	35.825587	139.941322	51～60歳	男	161～165cm	無	黒髪短髪（手ぶらであったとのこと）	黄色と茶色の四角い模様入りの服、色不明の半ズボン	帰宅途中の男子中学生が、男につきまとわれたもの。	280
声かけ	2016/10/03(月) 午後3時0分	松戸市二十世紀が丘柿の木町	35.772993	139.906328	11～17歳	男	不明	無	複数、中・高生風	不明	帰宅途中の女子児童が、男に声を掛けられたもの。	130
声かけ	2016/10/25(火) 午後0時25分	松戸市五香七丁目	35.798284	139.971203	18～25歳	男	166～170cm	無	細身、金色、短め	黒色長袖シャツ	帰宅途中の男子児童が、男に声を掛けられたもの。	130
声かけ	2016/09/20(火) 午後3時15分	松戸市小金原一丁目	35.827176	139.940061	51～60歳	女	155cm未満	無	不明	ピンク色、長袖トレーナー	帰宅途中の男子児童が、女に声を掛けられたもの。	130
声かけ	2016/07/27(水) 午前11時0分	松戸市秋山	35.762934	139.927181	26～30歳	男	166～170cm	無	短髪黒色、作業員風、眼鏡なし	長袖黒色シャツ、黒色ジャージ	遊んでいた男子児童が、男にひわいな言葉を掛けられたもの。	130
痴漢	2016/09/12(月) 午後3時0分	松戸市二十世紀が丘萩町	35.770114	139.906462	31～40歳	男	171～175cm	無	短い、会社員風、髪の毛が変な臭いがした。何の臭いかわからない。	灰色の長袖シャツ、デニム	帰宅途中の男子児童が、男に抱きつかれたもの。	900
声かけ	2016/10/14(金) 午後3時20分	柏市東山二丁目	35.824616	139.951655	26～30歳	男	166～170cm	無	小太り、黒髪普通、徒歩、黒色と緑色の肩掛けバッグ	赤と白のボーダー服、青色ジーンズ	帰宅途中の女子児童らが、男にひわいな言葉を掛けられたもの。	130
露出	2016/06/20(月) 午後5時0分	柏市新逆井二丁目	35.80908	139.969457	31～40歳	男	166～170cm	自転車	小太り、銀色の縁の眼鏡	色不明の野球帽、灰色半袖Ｔシャツ	遊んでいた女子児童らが、男に陰部を見せられたもの。	600
声かけ	2016/09/10(土) 午前6時55分	松戸市大橋	35.763364	139.918514	41～50歳	男	166～170cm	無	小太り、作業員風、黒色サングラス 前歯あり	つば付き黒色帽子、黒色Tシャツ、黒色ハ－フパンツ、黒色スニ－カ－	通学途中の女子中学生が、男に声を掛けられたもの。	130
声かけ	2016/05/10(火) 午後3時30分	松戸市秋山	35.760621	139.930339	不明	男	不明	無	不明	不明	帰宅途中の女子中学生が、男に声を掛けられたもの。	130
声かけ	2016/06/03(金) 午後3時55分	松戸市五香南二丁目	35.792551	139.97382	26～30歳	男	171～175cm	無	黒髪、普通の長さ、白色マスクを着用	緑色の服、Ｇパン	帰宅途中の女子児童が、男に声を掛けられたもの。	130
露出	2016/09/04(日) 午前9時20分	松戸市三矢小台五丁目	35.769617	139.903527	31～40歳	男	171～175cm	自転車	小太り、黒髪長さその他	Ｔシャツ色七分丈ズボン色不明	遊んでいた女子児童が、陰部を露出した男に声を掛けられたもの。	600
つきまとい	2016/11/02(水) 午前7時30分	松戸市根木内	35.829479	139.941563	41～50歳	男	171～175cm	無	小太り、黒色、白色マスクを着用、黒色リュックサックを背負う	黒色キャップ、黒っぽい長袖、黒っぽい長ズボン	通学途中の女子児童らが、男につきまとわれたもの。	280
露出	2016/08/12(金) 午後3時15分	松戸市新松戸一丁目	35.829264	139.92111	31～40歳	男	171～175cm	無	黒色 乱髪	丸首半袖黒色Ｔシャツ、ジーンズ	移動中の女子中学生が、男に陰部を見せられたもの。	600
露出	2016/06/04(土) 午後0時50分	松戸市旭町三丁目	35.82374	139.90395	31～40歳	男	166～170cm	無	作業員風、黒縁眼鏡、マスク着用	上衣パーカーのフード、緑色長袖パーカー、黒っぽいニッカポッカ	遊んでいた女子児童らが、男に陰部を見せられたもの。	600
盗撮	2016/02/04(木) 午後3時0分	柏市逆井二丁目	35.792829	139.979098	41～50歳	男	不明	自転車	黒色のめがね	黒い帽子	帰宅途中の女子児童らが、自転車に乗車した男に容姿を撮影されたもの。	250
盗撮	2016/02/04(木) 午後3時0分	松戸市五香四丁目	35.792779	139.977794	51～60歳	男	156～160cm	自転車	小太り、白髪混じり黒髪、黒縁メガネ、一眼レフカメラ	黒色ニット帽、黒色ジャンパー、黒色ズボン	帰宅途中の女子児童らが、男に容姿を撮影されたもの。	250
声かけ	2016/05/11(水) 午前7時0分	松戸市小山	35.768476	139.900037	41～50歳	男	166～170cm	軽乗用	小太り、黒色 短め、会社員風	白色半袖Tシャツ（胸に模様入り）	通学途中の女子中学生が、車に乗った男に声を掛けられ、進路を塞がれたもの。	130
つきまとい	2016/10/25(火) 午後4時40分	松戸市高塚新田	35.758303	139.932577	31～40歳	男	166～170cm	無	不明	フード、黒色パーカー（フード付き）、黒色ジャージ	帰宅途中の女子児童が、男につきまとわれたもの。	280
声かけ	2016/08/06(土) 午前10時30分	柏市しいの木台三丁目	35.800821	139.978744	61～70歳	男	161～165cm	無	細身、黒色短髪	麦わら帽子、黒色Ｔシャツ、青色ズボン	帰宅途中の男子児童が、男に声を掛けられたもの。	130
痴漢	2016/08/07(日) 午後0時0分	松戸市五香南三丁目	35.790743	139.979181	11～17歳	男	156～160cm	無	複数、中・高生風	不明	帰宅途中の男子児童が、男に声を掛けられ、身体を触られたもの。犯人を確保し指導警告しました	900
声かけ	2016/07/15(金) 午後4時35分	松戸市五香四丁目	35.791364	139.97927	31～40歳	男	156～160cm	自転車	細身、黒色短髪白髪混じり	灰色のキャップ帽、不明	帰宅途中の女子児童が、自転車に乗った男に声を掛けられたもの。	130
露出	2016/04/20(水) 午後3時0分	松戸市五香四丁目	35.791364	139.97927	51～60歳	男	171～175cm	自転車	黒色ボサボサ、作業員風、肌色あさ黒	ベージュ色ジャンパー、水色半ズボン、黒色スニーカー	遊んでいた男子児童が、陰部を露出した男を目撃したもの。	600
声かけ	2016/10/27(木) 午後4時12分	柏市光ケ丘団地	35.827861	139.958615	26～30歳	男	171～175cm	ボックスタイプ	小太り、黒色短髪、襟足が長い、作業員風、マスク着用	黒色長袖Ｔシャツ、黒色ジャージ長ズボン	帰宅途中の男子児童が、車に乗った男に声を掛けられたもの。	130
露出	2016/09/30(金) 午後4時10分	松戸市小山	35.774385	139.890892	41～50歳	男	171～175cm	無	細身、黒色、長髪、会社員風、眼鏡（丸形）、黒色リュック（小さめ）、リュック	白色半袖ワイシャツ、黒色、長ズボン、革靴	帰宅途中の女子児童が、男に陰部を見せられたもの。	600
つきまとい	2016/07/20(水) 午後0時30分	柏市明原三丁目	35.823823	139.965385	41～50歳	男	不明	自転車	黒色白髪交じり	色不明半袖シャツ、色不明七分丈ズボン	移動中の女子中学生が、自転車に乗った男につきまとわれたもの。	280
つきまとい	2016/03/25(金) 午後2時0分	松戸市五香八丁目	35.796639	139.981221	26～30歳	男	166～170cm	無	黒色、短髪、学生風、眼鏡使用	茶色のパーカー、青色ジーンズ	遊んでいたいた女子児童らが、男につきまとわれたもの。	280
露出	2016/06/10(金) 午後3時50分	流山市後平井	35.832981	139.914985	26～30歳	男	166～170cm	自転車	白色マスク、眼鏡を着用、Tシャツの裾をズボンに入れる	赤と白のツートンのキャップ、白色Tシャツ、黒色七分丈ズボン	帰宅途中の女子児童が、自転車に乗った男に陰部を見せられたもの。	600
つきまとい	2016/10/20(木) 午後4時50分	松戸市新松戸七丁目	35.827564	139.902514	26～30歳	男	166～170cm	無	細身、会社員風、白色マスク着用	カーキ色フード付きジャンパー、黒色ズボン	遊んでいた女子児童が、男につきまとわれたもの。	280
暴行	2016/03/16(水) 午後3時30分	松戸市東平賀	35.836598	139.931822	61～70歳	男	161～165cm	無	複数、赤ら顔で飲酒しているようであった、白色買い物袋	青色ニット帽	遊んでいた女子児童らが、男に罵声を浴びせられたもの。	700
痴漢	2016/07/08(金) 午前7時30分	松戸市殿平賀	35.836443	139.928198	51～60歳	男	不明	無	黒色短髪、ピンク色の女性用下着	はだか、トランクス下着、ピーチサンダル	女子児童が、女性用下着を持っている男に遭遇したもの。	900
声かけ	2016/10/07(金) 午後4時10分	松戸市上矢切	35.771486	139.889106	61～70歳	男	不明	自転車	無精ひげが生えていた、自転車	麦わら帽子、色不明のＴシャツ、黒色ズボン	帰宅途中の女子児童らが、自転車に乗った男に声を掛けられたもの。	130
露出	2016/03/14(月) 午後2時40分	松戸市新松戸七丁目	35.832022	139.906355	26～30歳	男	181cm以上	無	赤色スマートフォン	緑色レインコート	帰宅途中の女子児童が、男に陰部を見せられたもの。	600
声かけ	2016/11/30(水) 午後4時0分	松戸市高塚新田	35.753795	139.940624	61～70歳	男	156～160cm	無	薄い	黒色ジャンパー、青色ズボン	帰宅途中の男子児童らが、男に声を掛けられたもの。	130
露出	2016/07/28(木) 午後1時50分	松戸市横須賀二丁目	35.835489	139.908626	26～30歳	男	166～170cm	無	黒色、会社員風、赤色のスマートフォンを所持	緑色の長袖シャツ、緑色の長ズボン	遊んでいた女子児童らが、男に陰部を見せられたもの。	600
露出	2016/05/01(日) 午後3時47分	松戸市横須賀一丁目	35.837844	139.91422	18～25歳	男	166～170cm	無	赤色の縁の眼鏡着用、赤色スマートフォン	フード、緑色のフード付きのカッパ、緑色ズボン	遊んでいた女子児童が、男に陰部を見せられたもの。	600
盗撮	2016/11/16(水) 午後4時0分	市川市曽谷二丁目	35.748836	139.936312	61～70歳	男	171～175cm	無	歩き方がゆっくりであった	黒色ジャンパー、紺色ズボン	遊んでいた女子児童らが、男に容姿を撮影されたもの。	250
盗撮	2016/01/13(水) 午後4時32分	市川市曽谷二丁目	35.748836	139.936312	61～70歳	女	155cm未満	自転車	黒色サングラス、白色マスク着用 フードを被っている、カメラ（特徴不明）	フードを被っていた、紫色フード付きジャンパー	遊んでいた男子児童が、女性に容姿を撮影されたもの。	250
暴行	2016/03/25(金) 午後1時30分	市川市中国分四丁目	35.753475	139.905368	26～30歳	男	166～170cm	無	複数、ガッチリ、黒色短め、作業員風	黒色サングラス、白色マスク、黒色ジャケット、白色作業ズボン	歩いていた女子児童が、男に声を掛けられ、腕を掴まれたもの。	700
露出	2016/11/18(金) 午後4時25分	松戸市中金杉一丁目	35.84188	139.922052	41～50歳	男	166～170cm	無	細身、着用していたパーカーを頭に被る、黒色丸形めがね、白色マスク	赤色パーカー、緑色Ｔシャツ、緑色ジャージ	遊んでいた女子児童らが、男に陰部を見せられたもの。	600
